# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = regression_model
# start_datetime = 2021-06-10 01:56:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./regression_normal/input_b3.json
# init = 2 (Default)
# random
#   seed = 4207672065 (Default)
# output
#   file = ./regression_normal/output_b3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,alpha,sigma,s
# Adaptation terminated
# Step size = 0.213792
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1
-18.5949,0.565277,0.213792,2,5,0,21.1997,-0.222674,8.07823,3.1021,0.185704
-18.3527,0.915512,0.213792,4,15,0,20.4211,-0.241011,9.37075,1.89469,0.154331
-16.5443,0.933169,0.213792,2,3,0,19.6355,0.0770634,9.26714,2.60918,0.241765
-17.2508,0.610058,0.213792,3,11,0,17.7957,0.102191,8.34549,2.41936,0.133742
-18.1565,0.93468,0.213792,4,15,0,18.8083,-0.353195,10.1302,2.05729,0.917741
-18.5713,0.974283,0.213792,4,15,0,20.3062,-0.724868,9.17218,2.61686,0.393552
-18.9801,0.923642,0.213792,4,15,0,21.5038,1.03329,7.79693,2.7768,0.661944
-19.0575,0.768299,0.213792,2,3,0,20.8704,1.05063,8.14642,2.03085,0.645745
-20.3236,0.999453,0.213792,4,15,0,20.8371,-1.60757,10.9603,3.28918,1.02648
-19.8753,0.962986,0.213792,4,15,0,22.7844,-0.903062,11.2663,2.92944,0.859035
-20.3401,0.90386,0.213792,3,15,0,23.8375,-2.04173,10.349,2.54675,0.899269
-20.1532,0.856157,0.213792,3,7,0,21.8322,-1.07331,10.6789,2.44074,2.76502
-19.4947,0.997212,0.213792,4,15,0,20.531,-1.34633,10.3934,2.29045,0.700304
-20.5591,0.811892,0.213792,4,19,0,23.4628,1.78195,7.57156,3.49664,2.38383
-21.8735,0.975279,0.213792,4,15,0,22.8373,3.4385,9.48555,3.3372,1.94436
-19.0211,0.998508,0.213792,3,7,0,22.2241,2.09279,9.04005,2.56568,2.13155
-19.0762,0.956189,0.213792,2,3,0,19.5595,1.92905,9.12714,2.36894,2.34916
-18.6191,0.97969,0.213792,3,15,0,19.9267,2.10773,8.63733,2.3876,1.57141
-19.9569,0.831954,0.213792,4,15,0,21.1592,1.62735,7.58646,3.4568,1.27274
-20.6604,0.980509,0.213792,3,11,0,23.4952,3.33755,8.51701,2.16877,3.38081
-21.1244,0.718953,0.213792,2,3,0,21.8653,3.23849,8.23006,3.56653,2.65678
-22.6692,0.795176,0.213792,3,11,0,25.3575,3.59707,7.96782,4.27518,2.00945
-21.844,1,0.213792,2,7,0,23.1656,3.00574,7.53685,1.74854,2.36596
-20.5156,0.935001,0.213792,2,7,0,23.3534,3.11042,7.4032,2.97934,2.89522
-21.0381,0.930709,0.213792,3,7,0,23.4529,2.8424,7.27102,3.39983,2.7596
-19.5278,0.965566,0.213792,4,31,0,22.1512,1.46638,9.40131,3.42131,1.15371
-20.2871,0.85371,0.213792,3,11,0,23.2169,-0.894237,9.29679,3.80543,1.94229
-17.314,0.965327,0.213792,3,11,0,20.3339,-0.306437,8.93578,2.19904,0.69699
-19.1786,0.925682,0.213792,3,15,0,20.3976,-0.0541337,10.7772,2.42113,1.08032
-17.5852,0.965256,0.213792,3,11,0,20.2795,-0.426767,9.85425,2.8713,0.507482
-16.748,0.989851,0.213792,3,11,0,17.6658,0.11883,9.60423,2.22325,0.328493
-17.0343,0.443146,0.213792,3,13,1,18.1606,-0.0879756,9.92753,2.25137,0.11358
-17.0343,0.0779817,0.213792,2,6,1,19.8882,-0.0879756,9.92753,2.25137,0.11358
-17.0343,1.59813e-07,0.213792,2,3,0,20.7534,-0.0879756,9.92753,2.25137,0.11358
-17.0343,0.00236508,0.213792,2,3,0,18.2273,-0.0879756,9.92753,2.25137,0.11358
-16.5076,0.576663,0.213792,2,7,0,18.2294,-0.0241152,9.08311,2.60444,0.216303
-17.0536,0.891028,0.213792,2,3,0,17.3691,-0.0203704,8.95955,3.06261,0.1946
-17.8009,0.92316,0.213792,3,15,0,18.503,0.418325,8.77411,3.15515,0.567917
-19.0127,0.951606,0.213792,2,7,0,20.0485,0.427453,8.6395,1.76367,1.12293
-17.8482,0.999492,0.213792,3,11,0,19.3743,0.803221,8.47836,2.74351,0.675367
-17.3105,0.970575,0.213792,3,7,0,19.6744,0.338321,9.04995,2.33454,1.13406
-17.1937,0.981197,0.213792,3,15,0,19.2516,-0.0976822,8.40019,2.60698,0.171156
