# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = regression_model
# start_datetime = 2021-06-10 01:56:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./regression_normal/input_b4.json
# init = 2 (Default)
# random
#   seed = 4207672154 (Default)
# output
#   file = ./regression_normal/output_b4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,alpha,sigma,s
# Adaptation terminated
# Step size = 0.15648
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1
-17.8184,0.999877,0.15648,4,15,0,20.0158,-0.288123,10.0179,2.93015,0.66675
-18.639,0.993838,0.15648,3,15,0,19.2125,0.778636,10.6565,2.83,0.883089
-20.0244,0.732816,0.15648,4,15,0,24.3715,0.344065,9.51068,2.00441,2.56508
-18.6908,1,0.15648,3,7,0,20.2918,0.77415,9.71588,3.16925,1.25054
-19.8201,0.938363,0.15648,2,3,0,20.1997,0.770877,9.6255,3.81991,1.28057
-20.7734,0.983374,0.15648,4,15,0,21.8149,-0.177786,11.0131,4.16839,1.35135
-19.3121,0.992924,0.15648,4,15,0,22.2281,0.679416,8.64168,3.38151,0.957017
-18.5623,0.982484,0.15648,4,15,0,20.4319,0.759623,10.4809,2.22056,0.981233
-18.9146,0.986847,0.15648,3,15,0,20.706,-0.944906,10.4877,2.7749,1.68207
-18.7658,0.98983,0.15648,3,15,0,20.736,-0.81163,9.54966,2.36265,0.736098
-19.0585,0.988818,0.15648,4,15,0,19.9739,-0.766584,9.36555,2.27097,0.825179
-20.861,0.964958,0.15648,4,15,0,21.7381,-1.26478,11.6512,3.75601,1.18206
-19.9625,0.997843,0.15648,4,15,0,21.3544,-1.64144,11.3431,2.51395,1.06743
-21.3531,0.959251,0.15648,5,31,0,23.0185,-0.776576,8.34314,2.69493,1.81899
-20.1596,0.858266,0.15648,4,31,0,23.854,-0.510985,11.6107,2.20641,0.786469
-18.4925,1,0.15648,4,15,0,21.2978,-0.850698,10.0042,2.64327,0.656688
-19.1367,0.882464,0.15648,4,15,0,21.4362,-0.536184,9.6258,3.13015,1.59496
-20.2143,0.966064,0.15648,3,15,0,20.7966,-0.829247,9.76778,3.72718,1.66898
-18.4549,0.98056,0.15648,2,7,0,20.8949,-0.898344,10.0425,2.7327,1.02973
-20.9986,0.988483,0.15648,4,31,0,24.216,1.82906,7.92838,3.12572,0.953175
-19.6356,0.985272,0.15648,4,15,0,22.3346,-1.2991,11.3136,3.00271,1.07601
-19.321,0.886031,0.15648,4,15,0,24.3452,0.156239,11.4193,3.22178,0.790999
-19.363,0.95072,0.15648,4,31,0,21.5235,0.828533,8.71804,2.64272,0.474524
-19.5907,0.872105,0.15648,3,7,0,21.1774,0.292723,9.14681,3.84652,0.950943
-20.466,0.948017,0.15648,3,15,0,22.7166,0.458144,9.71409,4.40909,0.845864
-21.0255,0.956976,0.15648,3,15,0,23.4938,0.16646,10.2114,4.67943,0.973775
-18.2191,0.976166,0.15648,3,15,0,22.3273,-0.0393021,9.56078,2.66005,1.30881
-18.3726,0.905838,0.15648,3,11,0,22.0588,0.0823213,9.59816,2.02704,0.930631
-18.1834,0.996075,0.15648,4,15,0,19.9579,0.290297,9.79793,2.30611,1.42889
-19.3005,0.85444,0.15648,3,7,0,19.8634,0.527739,9.91437,3.69629,1.00105
-19.2543,0.960851,0.15648,2,7,0,20.52,0.362477,9.69462,3.79205,0.816273
-21.5922,0.957377,0.15648,3,7,0,22.5843,-0.489448,10.5028,1.68504,0.253422
-18.8401,0.841332,0.15648,2,3,0,23.9631,-0.00138373,10.3847,3.77168,0.42732
-18.3913,0.987078,0.15648,3,15,0,19.8857,0.00980586,10.1599,3.56455,0.403007
-18.669,0.958175,0.15648,4,15,0,20.5938,-0.561776,10.303,1.97974,0.603921
-18.939,0.980531,0.15648,4,15,0,19.4672,0.412972,10.5668,2.00571,0.333844
-20.5365,0.97674,0.15648,3,15,0,21.0241,-0.32939,10.8217,3.51306,0.156816
-20.2129,0.97981,0.15648,4,31,0,24.9657,0.0794267,9.16467,4.58395,0.202834
-19.4723,0.646453,0.15648,3,11,0,21.3933,0.00960168,9.10043,4.20721,0.161019
-17.3188,0.666315,0.15648,3,14,1,20.6945,0.0336198,9.58585,2.98589,0.128875
-17.8447,0.898271,0.15648,3,7,0,18.315,-0.0790548,9.57154,2.02761,0.192038
-18.1485,0.962978,0.15648,3,7,0,18.7416,0.0187468,9.97239,3.54463,0.210752
-18.042,0.926666,0.15648,2,3,0,19.1894,0.146833,10.0422,1.92349,0.232606
-16.9797,0.993083,0.15648,4,23,0,18.3091,0.0729333,10.0978,2.48737,0.181353
-17.0546,0.992941,0.15648,5,31,0,17.4531,0.0168879,9.47475,2.46507,0.105341
-17.4336,0.939299,0.15648,2,3,0,17.6275,-0.0136344,9.50536,2.12981,0.104161
-17.1333,0.743266,0.15648,3,9,1,18.8155,0.0274153,10.051,2.85196,0.193558
-17.6007,0.900884,0.15648,4,21,0,17.6726,0.0953233,10.1427,2.17831,0.64648
-20.8333,0.939645,0.15648,4,15,0,23.7701,0.650215,10.8016,3.05514,0.271748
-20.0656,0.883434,0.15648,4,15,0,24.8798,1.64793,8.89733,3.51616,1.72885
-21.1258,0.98323,0.15648,4,23,0,22.03,2.54971,8.34659,3.69419,1.75069
-21.2531,0.988626,0.15648,4,15,0,23.3776,2.28342,10.7294,2.70061,2.62394
-22.4897,0.982486,0.15648,4,19,0,24.4185,3.22048,10.5243,3.28471,3.26637
-24.0206,0.957724,0.15648,3,7,0,25.425,3.31114,10.7124,3.93846,3.8818
-21.1597,0.997677,0.15648,4,15,0,25.6432,2.5561,10.5845,2.46949,1.73517
-18.3026,0.954528,0.15648,4,15,0,22.3807,-0.432255,9.21812,2.6241,0.610128
-18.2349,0.996013,0.15648,4,15,0,19.8892,-0.0499643,9.73702,2.59527,1.43627
-19.5231,0.955174,0.15648,4,15,0,21.8302,0.244808,8.07127,3.04176,0.314657
-19.289,0.892553,0.15648,4,15,0,21.4112,-0.217114,8.78637,3.58653,0.620813
-18.391,0.974552,0.15648,4,27,0,20.0386,-0.00665248,8.7735,2.42729,0.390858
-17.9387,0.994585,0.15648,4,15,0,20.2038,0.563286,9.33679,2.77765,0.674928
-17.7158,0.97271,0.15648,4,15,0,18.5928,0.0437271,9.81076,2.03428,0.422822
-17.4713,0.999014,0.15648,3,11,0,19.7319,0.266291,10.036,2.46428,0.722756
-18.2753,0.971855,0.15648,3,15,0,20.1216,0.0735518,10.2269,2.85383,1.31016
-18.669,0.991694,0.15648,4,15,0,19.3055,-0.578226,9.62952,2.98325,1.22999
-17.5333,0.973594,0.15648,4,15,0,19.8483,0.003903,9.41183,3.07028,0.182088
-17.0497,0.967644,0.15648,3,15,0,18.6839,0.0385179,10.0875,2.27895,0.226128
-19.1352,0.902051,0.15648,4,15,0,20.7361,0.197521,11.5131,2.73368,0.221021
-17.9675,0.996982,0.15648,4,15,0,19.3206,-0.281706,10.7698,2.72868,0.286
-17.9107,0.908087,0.15648,1,3,0,23.108,0.173915,10.8497,2.48325,0.214702
-17.3128,0.99316,0.15648,4,15,0,18.2821,-0.110283,10.4514,2.595,0.152713
-18.0459,0.910845,0.15648,2,3,0,18.6823,-0.151314,10.425,2.04681,0.157283
-19.2907,0.814016,0.15648,2,7,0,20.4334,0.207031,10.4111,3.1122,0.108715
-17.1967,1,0.15648,3,7,0,18.6946,-0.00279369,10.3095,2.92219,0.119242
-17.1967,0.000739409,0.15648,2,3,0,22.5275,-0.00279369,10.3095,2.92219,0.119242
-17.9501,0.509213,0.15648,3,15,0,20.3778,0.0351397,9.86964,1.9143,0.241989
-18.4556,0.999172,0.15648,3,15,0,19.117,0.185069,9.19639,3.45925,0.366848
-17.8148,0.874331,0.15648,3,11,0,22.0133,0.131397,9.21802,2.21443,0.297288
-18.4035,0.882007,0.15648,4,17,0,18.9706,0.113811,10.1886,2.11072,1.31124
-18.24,0.970142,0.15648,4,15,0,19.1421,-0.4648,9.96131,3.11431,0.664303
-17.4944,0.996157,0.15648,4,15,0,18.6364,-0.237887,9.67524,2.46986,0.475844
-20.3663,0.972024,0.15648,3,11,0,21.2378,0.260031,7.93366,3.07103,0.183113
-20.2271,0.972995,0.15648,5,31,0,21.1781,-0.292549,8.05957,3.40421,0.293542
-19.0303,0.99524,0.15648,3,7,0,20.5046,0.432354,8.77742,2.27359,0.336233
-19.8665,0.980781,0.15648,3,7,0,20.2756,-0.407194,8.6136,2.40463,0.344301
-18.7068,1,0.15648,3,7,0,20.0485,0.245922,8.92774,3.37416,0.262808
-20.0163,0.975494,0.15648,3,7,0,21.0541,-0.330926,8.98862,2.51411,0.162201
-20.0329,1,0.15648,5,31,0,21.8301,0.770627,8.60148,2.8302,2.38202
-18.5756,0.993449,0.15648,4,15,0,21.3593,-0.746592,9.80827,2.53641,0.523632
-18.652,0.919918,0.15648,3,7,0,19.8906,-0.166746,9.6595,3.41395,0.853935
-18.6665,0.991118,0.15648,3,15,0,20.2285,0.849737,9.72056,1.96905,1.03345
-20.6662,0.90893,0.15648,4,23,0,22.8394,2.49709,9.42924,2.08827,3.27905
-17.6976,1,0.15648,4,15,0,21.4607,0.29703,9.78383,2.9737,0.465906
-17.6069,0.996255,0.15648,4,15,0,18.315,0.277119,9.47783,2.83124,0.431923
-18.9074,0.995854,0.15648,3,15,0,19.7238,0.215455,8.87345,2.60308,1.38574
-18.8445,0.906602,0.15648,4,22,1,20.5032,0.653662,10.1732,2.3605,2.01738
-19.7378,0.952434,0.15648,4,31,0,21.2918,1.91255,9.5945,2.0391,2.25056
-18.975,0.824895,0.15648,4,19,0,22.0164,0.382497,8.92829,2.10753,0.859823
-18.5951,1,0.15648,4,15,0,19.6909,-0.0996935,10.9017,3.35627,0.565145
-17.5151,0.99703,0.15648,4,15,0,19.0427,-0.0579457,10.0059,3.13359,0.139852
-18.6077,0.910672,0.15648,5,31,0,20.2141,0.590049,10.6477,2.18668,0.762072
-17.6286,0.98752,0.15648,4,15,0,20.423,-0.107078,9.88139,3.11636,0.282355
-17.5956,0.856386,0.15648,4,23,0,18.3892,0.150683,10.0821,2.09185,0.453027
-18.4568,0.990647,0.15648,3,15,0,19.01,-0.797048,9.74755,2.60371,0.697032
-18.2879,0.810047,0.15648,3,15,0,21.7892,0.0638997,9.90466,3.51509,0.400348
-17.8027,0.995978,0.15648,3,11,0,19.0443,0.253187,9.6183,2.29065,0.937569
-17.3127,0.893327,0.15648,4,19,0,19.1737,0.0758443,9.42,2.5767,0.105249
-18.464,0.852886,0.15648,3,7,0,18.6003,0.14011,9.01898,2.68136,0.0986455
-17.241,0.998144,0.15648,4,23,0,19.2614,0.135821,9.76126,2.42307,0.474539
-17.5402,0.987228,0.15648,4,15,0,18.4633,0.193259,10.4396,2.663,0.545514
-18.3207,0.999499,0.15648,4,15,0,18.512,0.0892988,10.6991,2.58536,1.18717
-19.2434,0.834813,0.15648,1,3,0,20.2229,0.0768945,10.7411,3.39551,1.27105
-21.0636,0.988404,0.15648,3,15,0,23.4677,1.36467,8.92191,3.51004,3.05761
-20.9505,0.990654,0.15648,3,15,0,22.5342,0.688247,8.5974,2.15798,2.56646
-18.3494,0.9797,0.15648,4,31,0,21.0716,0.0362264,11.3586,2.95647,0.132307
-18.4643,0.695745,0.15648,3,15,0,22.9885,-0.365696,11.145,2.50316,0.664336
-18.8025,0.971022,0.15648,4,15,0,20.2539,-0.210423,11.1656,2.3208,0.831889
-19.4435,0.955028,0.15648,4,29,0,20.4507,-1.28195,11.0859,2.27601,1.02978
-20.2069,0.918624,0.15648,2,7,0,20.6285,-1.18248,11.0424,1.96219,0.978668
-19.7699,1,0.15648,4,15,0,20.8938,-0.846507,10.3247,1.99325,1.98918
-19.1976,0.995459,0.15648,4,15,0,20.5166,-0.315186,9.68286,3.44066,1.32049
-19.1013,0.986054,0.15648,4,15,0,19.8424,0.395796,9.72718,3.49006,0.276894
-19.0419,0.939203,0.15648,2,3,0,22.8813,0.57494,9.56198,2.33066,0.28499
-17.7629,0.956069,0.15648,3,7,0,20.1097,-0.204464,9.53269,2.60459,0.188236
-19.8956,0.836652,0.15648,2,7,0,22.2638,0.115031,10.1659,4.20425,0.101855
-18.4047,0.803392,0.15648,3,7,0,20.6704,-0.0198456,10.2561,3.71388,0.108598
