# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = regression_model
# start_datetime = 2021-06-10 01:56:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./regression_normal/input_b1.json
# init = 2 (Default)
# random
#   seed = 4207671881 (Default)
# output
#   file = ./regression_normal/output_b1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,alpha,sigma,s
# Adaptation terminated
# Step size = 0.199929
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1
-19.6921,0.964535,0.199929,3,15,0,20.6754,-2.42608,10.8896,1.99285,1.29185
-19.723,0.987711,0.199929,4,23,0,20.8389,1.32856,8.13432,2.92127,0.615732
-18.8737,0.935211,0.199929,3,7,0,21.3225,0.034849,8.66702,1.91025,1.36517
-16.42,0.858253,0.199929,4,15,0,19.957,-0.0192717,10.1293,2.03066,0.112414
-17.2688,0.262465,0.199929,2,5,0,19.6746,-0.177569,10.4838,2.94497,0.326047
-17.3938,0.984821,0.199929,4,15,0,18.2513,-0.181228,8.74002,2.14895,0.25809
-19.2228,0.908203,0.199929,4,15,0,19.6143,1.74138,9.55979,2.05278,1.93173
-18.7705,0.689114,0.199929,2,7,0,21.3856,1.11834,9.26619,3.34894,1.20207
-16.2397,0.958991,0.199929,4,15,0,18.5144,0.0623136,10.0239,2.23306,0.207264
-16.761,0.744392,0.199929,3,11,0,17.4642,-0.0616929,9.14927,2.1836,0.663856
-16.9689,0.987459,0.199929,3,11,0,17.4153,0.579609,9.35384,2.27465,1.01101
-16.4455,0.805217,0.199929,4,15,0,19.1806,-0.114873,9.39362,2.03908,0.226526
-17.4803,0.903712,0.199929,4,15,0,18.0195,0.707109,9.22884,2.86359,0.887581
-17.6903,0.991679,0.199929,2,3,0,17.7493,0.742075,9.20596,2.97473,0.916563
-18.5807,0.988985,0.199929,3,7,0,18.7818,1.07391,9.77307,1.9068,0.891848
-17.7614,0.999591,0.199929,3,15,0,18.7778,0.742686,8.89815,2.1503,1.64756
-17.9874,0.997398,0.199929,4,15,0,18.4626,1.18254,9.31262,2.51988,1.79447
-18.7151,0.961759,0.199929,3,7,0,20.3893,1.20777,10.0539,2.90197,1.12836
-18.5181,0.95383,0.199929,3,15,0,19.9079,1.23197,9.61371,2.96591,1.50852
-21.894,0.762306,0.199929,4,15,0,22.8011,-0.0587031,7.86699,1.83308,0.52908
-20.8904,0.714286,0.199929,2,7,0,24.2872,0.0609192,7.95047,4.90238,0.232883
-16.7527,0.935506,0.199929,3,11,0,22.3817,0.316082,9.90815,2.4817,0.363937
-16.3723,0.981311,0.199929,3,15,0,17.1839,-0.179926,9.81311,2.23843,0.219543
-16.6932,0.883124,0.199929,3,11,0,17.7943,0.337597,9.23787,2.09769,0.542163
-18.2176,0.472405,0.199929,2,7,0,21.055,0.124462,9.70228,3.71624,0.255811
-18.361,0.991986,0.199929,3,11,0,19.0371,-0.218756,9.98687,1.6213,0.439593
-18.538,0.944703,0.199929,2,7,0,20.2338,0.0595498,10.4729,3.59662,0.587359
-17.6259,0.942027,0.199929,2,3,0,19.0097,-0.268278,10.4904,1.91665,0.51384
-17.6914,1,0.199929,3,7,0,18.3855,-0.206566,10.564,1.94813,0.53474
-19.6593,0.67815,0.199929,2,3,0,20.0274,0.0204917,10.6963,4.13906,0.560987
-20.6915,0.956367,0.199929,4,15,0,21.7558,0.195159,8.46606,1.69979,1.49384
-18.7943,1,0.199929,2,7,0,20.5533,0.248959,8.66672,1.89476,1.46464
-18.1022,1,0.199929,4,15,0,20.2272,-0.614492,9.61374,2.28108,2.14193
-17.0026,0.985059,0.199929,3,15,0,18.8483,0.380382,9.51056,2.15786,1.09772
