# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = regression_model
# start_datetime = 2021-06-10 01:56:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./regression_normal/input_b5.json
# init = 2 (Default)
# random
#   seed = 4207672239 (Default)
# output
#   file = ./regression_normal/output_b5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,alpha,sigma,s
# Adaptation terminated
# Step size = 0.194889
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1
-25.3281,0.954839,0.194889,2,7,0,25.7398,11.3985,9.39695,1.9798,6.90617
-24.5153,0.573369,0.194889,2,7,0,27.7077,11.3582,9.26418,2.40726,4.06897
-24.5048,0.878394,0.194889,3,11,0,26.1252,12.018,9.40393,2.76918,5.0851
-24.1929,0.970116,0.194889,4,15,0,25.1996,11.4911,9.93479,2.45837,4.62906
-25.2742,0.97108,0.194889,4,23,0,26.4458,13.0425,8.90719,2.4496,4.61102
-25.0356,0.857668,0.194889,4,15,0,26.7398,11.8278,8.99947,3.06437,6.11499
-23.4889,0.997429,0.194889,4,31,0,26.8901,9.15427,11.2789,2.33827,5.27206
-23.0345,0.94473,0.194889,5,47,0,25.3675,5.5766,12.7761,2.98292,3.41147
-25.0218,0.969798,0.194889,4,31,0,25.9685,5.27665,15.1285,3.26751,2.59106
-24.0763,0.94835,0.194889,3,7,0,25.7578,4.75258,14.6547,3.4758,3.51202
-24.2172,0.916579,0.194889,5,46,1,24.9965,5.78929,11.7476,2.53874,3.86194
-23.6494,0.93388,0.194889,3,7,0,25.015,6.39779,12.6783,2.08855,3.82067
-24.9358,0.983694,0.194889,4,15,0,27.0336,8.43119,12.8273,2.94537,3.27722
-26.6332,0.772639,0.194889,2,3,0,28.4184,8.37713,12.6046,2.04707,2.60742
-24.9997,0.624658,0.194889,2,7,0,29.6945,8.33206,13.0164,2.9738,4.99485
-24.1938,0.985683,0.194889,4,29,0,26.5711,8.72224,12.0497,2.521,3.17925
-23.288,0.948113,0.194889,4,19,0,25.2344,8.90123,11.5527,2.55289,4.48883
-22.991,0.972286,0.194889,5,43,0,24.696,6.1381,13.1083,2.69985,3.70297
-24.5485,0.741971,0.194889,2,7,0,25.905,6.13071,12.9879,4.05673,3.33868
-23.763,1,0.194889,2,3,0,24.6961,6.22278,12.9632,3.51546,3.05572
-25.0701,0.987573,0.194889,5,47,0,25.9409,8.47578,9.88888,2.39571,3.90852
-27.8578,0.930693,0.194889,3,15,0,29.5684,7.526,9.15296,4.70656,4.62422
-27.4352,0.956051,0.194889,4,31,0,30.4677,6.3753,10.1536,2.65777,2.79589
-25.6358,0.988575,0.194889,3,11,0,28.7923,6.92391,11.0317,4.27464,3.07963
-24.5727,0.890555,0.194889,3,7,0,26.959,6.60073,10.976,2.64768,3.93615
-23.4834,0.994418,0.194889,4,31,0,26.041,9.34733,11.3431,2.52368,4.01726
-23.6942,0.971989,0.194889,3,11,0,24.1107,9.01254,10.2956,2.56262,4.77828
-22.7415,0.97904,0.194889,6,79,0,24.0347,0.668613,15.5116,3.26634,1.0195
-23.3673,0.853957,0.194889,3,15,0,24.9282,-0.0358201,15.3378,4.36852,0.84251
-23.3287,0.998339,0.194889,4,15,0,23.949,-0.0293025,15.829,4.20671,1.10339
-23.2226,0.995695,0.194889,3,7,0,24.3282,0.583154,15.1938,3.1347,0.438592
-23.1361,0.992228,0.194889,3,15,0,23.9582,-0.400187,16.1369,3.35208,0.468933
-23.5384,0.98065,0.194889,3,15,0,24.3415,-0.321443,15.7843,3.92881,1.19655
-23.9338,0.949397,0.194889,3,11,0,25.2762,-0.619623,16.4247,4.38651,0.488651
-22.7675,1,0.194889,3,7,0,24.1836,0.0150031,16.7298,3.13885,0.627722
-23.0846,0.909496,0.194889,3,11,0,23.9073,-0.310502,16.4827,4.27357,0.408643
-22.9322,0.978427,0.194889,4,15,0,24.4242,0.96191,16.0836,3.85856,1.16819
-22.7314,0.901868,0.194889,2,3,0,25.6378,0.485603,16.179,3.84741,0.943818
-23.0753,0.922328,0.194889,5,31,0,23.92,0.415899,15.1184,4.18815,0.404022
-24.3484,0.972046,0.194889,4,23,0,25.4819,-0.114126,18.1183,3.16571,0.704182
-23.4458,1,0.194889,2,7,0,24.6806,-0.0989529,17.792,4.26254,0.503949
-23.0036,0.99365,0.194889,4,15,0,23.943,0.320071,16.6848,4.07215,0.266744
-24.8984,0.808232,0.194889,2,3,0,25.9929,0.41462,16.8771,2.58804,0.250723
-24.8817,0.399951,0.194889,3,7,0,30.0962,-0.790744,16.9907,3.54581,2.35939
-25.8465,0.929442,0.194889,3,7,0,26.4033,-0.489971,17.2311,4.13675,3.2956
-24.7842,0.783621,0.194889,3,15,0,30.6127,-0.68118,18.5173,3.77153,0.94921
-23.3296,0.927405,0.194889,4,31,0,27.3939,0.502584,15.8768,3.6762,0.291879
-24.527,0.944379,0.194889,4,15,0,25.9397,0.201849,18.0513,3.23922,1.05721
-25.8064,0.89887,0.194889,2,7,0,26.8264,0.285458,18.1825,2.94173,1.38245
-25.3303,1,0.194889,3,7,0,25.8278,0.335324,17.8276,5.3131,1.35214
-24.1159,0.945854,0.194889,2,3,0,25.7173,0.364378,17.7906,3.81061,1.32115
-23.9671,0.916021,0.194889,5,31,0,26.3545,-0.318195,16.5465,2.72254,0.426826
-24.2445,0.99375,0.194889,2,7,0,25.4026,-0.620222,16.7262,4.87803,0.609913
-24.3613,0.998319,0.194889,3,7,0,26.8139,-0.126028,18.2511,5.03703,0.330736
-25.1443,0.961049,0.194889,3,7,0,25.9194,0.351295,17.9845,4.65655,0.201535
-24.1478,0.786577,0.194889,3,15,0,28.5215,-0.476057,16.6013,2.8825,0.377745
-24.1478,0.555838,0.194889,3,15,0,27.3368,-0.476057,16.6013,2.8825,0.377745
-23.6457,0.969713,0.194889,3,7,0,24.9111,0.469891,16.3643,4.60152,0.346631
-26.065,1,0.194889,3,7,0,28.4532,0.377075,16.8967,2.67335,0.156684
-22.4241,1,0.194889,2,3,0,26.4513,-0.0367039,16.9939,3.89711,0.256018
-23.0064,0.867795,0.194889,2,3,0,26.4083,0.0984254,17.3532,4.36496,0.160686
-22.2046,0.45835,0.194889,4,15,0,25.9234,0.0880016,16.6204,3.33865,0.199565
-22.5252,0.59908,0.194889,2,7,0,23.1832,-0.119043,16.6987,3.49781,0.136148
-23.3273,0.237594,0.194889,4,23,0,28.0556,-0.197145,17.849,3.72773,0.286451
-22.3841,0.925687,0.194889,3,15,0,24.82,-0.0545835,17.0344,3.67377,0.244966
-24.7007,0.774056,0.194889,2,7,0,26.3876,-0.136783,17.1765,5.67718,0.137036
-22.4192,1,0.194889,2,3,0,24.5429,0.104008,17.0313,3.44756,0.177765
-25.8206,0.534466,0.194889,2,3,0,26.4072,0.412594,17.0568,2.63141,0.192652
-24.0091,0.132724,0.194889,3,15,0,34.173,-0.591375,15.9025,4.44719,0.480662
-22.6416,0.867221,0.194889,3,7,0,26.7465,-0.145377,16.0198,3.20991,0.218676
-23.4846,0.847805,0.194889,4,15,0,24.9811,0.548734,17.3996,3.48935,1.01661
-24.3026,0.818989,0.194889,3,15,0,26.059,1.14577,16.7856,4.63012,0.796385
-25.2951,0.98997,0.194889,5,39,0,28.2384,5.94872,12.0678,2.29103,5.88674
-25.3394,1,0.194889,3,7,0,25.7337,6.03817,12.0476,2.42967,6.37892
-24.4667,1,0.194889,2,3,0,25.3388,6.1107,12.0424,2.78364,5.67985
-23.5518,0.93118,0.194889,5,47,0,25.6558,2.36037,14.6336,3.89404,2.36226
-24.6429,0.932147,0.194889,3,15,0,25.7963,1.96269,14.1887,4.25915,2.93992
-23.7788,0.722967,0.194889,4,15,0,27.6135,0.772313,14.6226,3.08132,1.29486
-23.8279,0.996935,0.194889,3,7,0,24.0758,0.796296,14.485,4.56439,1.03934
-23.3386,0.878238,0.194889,4,19,0,25.6139,3.07219,14.9414,2.59216,2.10043
-23.6797,0.939349,0.194889,4,31,0,27.1666,6.22042,13.0621,2.32761,2.50677
-25.2301,0.939806,0.194889,5,39,0,27.017,1.41202,13.3564,4.07414,0.723155
-23.4507,0.980702,0.194889,4,15,0,26.386,0.0892235,17.8128,3.67385,0.675396
-24.7786,0.792882,0.194889,4,19,0,26.3108,0.22264,14.141,3.08223,0.447766
-24.5282,1,0.194889,3,7,0,26.1693,0.49466,14.3155,3.16832,1.34538
-23.6929,0.360447,0.194889,3,11,0,29.4694,0.311198,14.1601,3.99857,0.563923
-23.8932,0.983582,0.194889,4,19,0,25.6906,1.78426,16.6781,3.37322,1.96274
