# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = regression_model
# start_datetime = 2021-06-10 01:56:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./regression_normal/input_b2.json
# init = 2 (Default)
# random
#   seed = 4207671957 (Default)
# output
#   file = ./regression_normal/output_b2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,alpha,sigma,s
# Adaptation terminated
# Step size = 0.185538
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1
-18.3786,1,0.185538,3,7,0,18.986,-1.27217,10.2309,1.88243,1.4928
-23.9446,0.260352,0.185538,3,11,0,25.7017,0.0514279,10.8592,1.44258,0.403059
-18.0736,1,0.185538,3,11,0,22.4127,-0.210215,8.5419,2.05238,0.427592
-18.4223,1,0.185538,3,7,0,18.9193,0.0140293,8.25701,3.35048,0.59717
-17.9048,0.997836,0.185538,4,15,0,18.8914,0.748192,8.60874,2.96545,0.734228
-18.1585,0.967057,0.185538,4,15,0,18.8675,0.847862,9.26442,1.81764,1.13263
-16.837,0.997209,0.185538,2,7,0,20.841,0.152136,8.92382,2.48511,0.680644
-17.7133,0.929059,0.185538,2,7,0,20.2057,-0.0540829,8.52009,2.21733,0.697552
-20.7568,0.754087,0.185538,4,15,0,21.4815,2.04868,9.30902,1.75037,1.80939
-20.9259,0.993371,0.185538,3,7,0,22.1976,2.14407,10.0304,3.44046,1.87794
-18.2565,0.869933,0.185538,4,15,0,23.28,0.0643253,9.09786,3.33693,1.09015
-17.2231,0.945425,0.185538,4,23,0,19.7136,0.212059,9.32698,2.96982,0.200959
-16.223,0.982878,0.185538,1,3,0,17.3635,0.0782217,9.21925,2.47577,0.205096
-17.3603,0.868862,0.185538,4,15,0,17.7457,-0.297748,8.8061,2.7403,0.353095
-19.1485,0.837212,0.185538,4,27,0,20.7196,0.0370613,10.3984,3.94221,0.571214
-18.1899,0.966911,0.185538,2,7,0,21.4502,-0.197427,10.7079,3.30398,0.507076
-17.938,0.863792,0.185538,3,7,0,19.9671,0.194086,10.7064,2.23941,0.529441
-16.5275,0.933275,0.185538,3,15,0,19.3201,-0.195623,9.25439,2.34792,0.48051
-16.6518,0.98549,0.185538,4,31,0,17.4935,0.24247,9.02275,2.44035,0.554674
-17.0802,0.844615,0.185538,2,7,0,18.4237,0.0266707,9.12348,3.08393,0.350458
-18.9481,0.940056,0.185538,4,31,0,20.1367,-0.286717,9.1129,1.71062,1.13417
-19.3007,0.999819,0.185538,3,15,0,20.6605,-0.619184,9.80089,3.64558,0.403926
-19.3637,0.940664,0.185538,2,3,0,21.4124,-0.95643,9.71542,2.72553,0.408588
-20.2018,0.786953,0.185538,4,15,0,23.4645,1.33999,9.32991,3.50394,2.5337
-20.3439,0.986116,0.185538,1,1,0,20.5159,1.31533,9.3526,3.5857,2.52369
-18.8332,0.923579,0.185538,3,15,0,21.7144,1.12635,9.10069,1.75673,1.41257
-17.942,1,0.185538,4,15,0,19.2327,0.601398,8.17649,2.50959,0.741032
-20.8845,0.922339,0.185538,4,15,0,21.9578,0.00734869,7.13926,2.68785,0.791386
-19.8066,0.998477,0.185538,4,15,0,21.4777,0.257414,7.59911,3.59,0.951161
