# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = normal_mixture_model
# start_datetime = 2021-05-27 02:58:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./ex_toy02/inputs.json
# init = 2 (Default)
# random
#   seed = 3001794802 (Default)
# output
#   file = ./ex_toy02/output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,mu,sigma
# Adaptation terminated
# Step size = 0.0623868
# Diagonal elements of inverse mass matrix:
# 1, 1, 1
-91.0846,0.886731,0.0623868,2,5,0,92.6281,0.474469,-0.95048,0.35519
-91.8396,0.91481,0.0623868,2,7,0,92.1321,0.490239,-1.00686,0.406265
-91.8033,0.981104,0.0623868,2,7,0,92.8333,0.497573,-0.920485,0.421251
-92.0168,0.985596,0.0623868,1,1,0,92.0331,0.498954,-0.923458,0.429472
-93.5763,0.772554,0.0623868,2,7,0,94.7702,0.487477,-1.04579,0.436928
-92.346,0.908063,0.0623868,2,3,0,94.6712,0.48274,-0.877906,0.351558
-91.3203,1,0.0623868,3,15,0,92.5574,0.534831,-0.977194,0.394107
-91.6906,0.976546,0.0623868,2,7,0,92.0332,0.545422,-0.904207,0.339906
-91.585,0.999335,0.0623868,2,3,0,92.0606,0.551889,-0.961143,0.329996
-92.9318,0.916055,0.0623868,2,3,0,93.367,0.567713,-0.948045,0.310541
-93.5682,0.950983,0.0623868,3,7,0,95.0098,0.447418,-0.857761,0.432292
-93.5291,0.918721,0.0623868,2,7,0,95.1161,0.430011,-1.10808,0.355428
-92.5181,0.302989,0.0623868,2,3,0,104.512,0.45514,-0.883366,0.405493
-92.8549,0.989285,0.0623868,3,7,0,93.5897,0.438146,-1.0153,0.420848
-91.7189,0.964701,0.0623868,3,15,0,93.8279,0.499845,-0.937539,0.326669
-92.9274,0.842021,0.0623868,2,3,0,93.727,0.484134,-1.06775,0.321607
-92.84,0.979576,0.0623868,2,3,0,93.8314,0.468891,-0.894492,0.332385
-91.795,0.427945,0.0623868,2,3,0,97.7822,0.496211,-1.03346,0.38916
-91.9966,0.989834,0.0623868,3,15,0,93.5163,0.440668,-0.927954,0.386652
-93.7746,0.769246,0.0623868,4,15,0,94.7048,0.643529,-0.772478,0.411837
-92.4595,0.95922,0.0623868,4,19,0,96.5934,0.557276,-1.04353,0.346314
-92.0104,0.989106,0.0623868,3,7,0,94.3567,0.511168,-0.861293,0.412982
-91.6414,1,0.0623868,2,3,0,92.0113,0.507521,-0.888651,0.408516
-93.3675,0.855043,0.0623868,3,11,0,94.7765,0.580189,-0.931991,0.461672
-95.3356,0.733634,0.0623868,2,5,0,97.9477,0.630334,-1.00217,0.441191
-92.9756,0.835989,0.0623868,1,3,0,97.0625,0.644087,-0.837319,0.407013
-92.967,0.959205,0.0623868,2,3,0,93.3358,0.636645,-0.815903,0.422227
-93.4974,0.789101,0.0623868,2,3,0,94.0561,0.637976,-0.885154,0.450961
-91.8183,0.999244,0.0623868,3,15,0,94.6101,0.596779,-0.887558,0.371426
-93.3311,0.804379,0.0623868,2,3,0,93.4204,0.608511,-0.999316,0.401229
-92.7253,0.993455,0.0623868,3,11,0,94.7263,0.459325,-1.08922,0.362233
-93.2107,0.960113,0.0623868,2,3,0,94.1835,0.471187,-0.897419,0.323219
-93.0343,0.996112,0.0623868,3,7,0,96.2072,0.416619,-1.01273,0.414507
-91.8393,0.983035,0.0623868,3,15,0,93.657,0.500187,-1.03032,0.328001
-92.3608,0.802711,0.0623868,2,7,0,94.222,0.501388,-1.07038,0.37274
-91.3204,0.979501,0.0623868,3,7,0,93.1099,0.477404,-0.935452,0.391727
-91.8232,0.930764,0.0623868,3,11,0,92.5534,0.573911,-0.854656,0.3961
-91.5669,0.775388,0.0623868,3,7,0,94.4126,0.574085,-0.897226,0.405004
