# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = laplacian_prior_model
# start_datetime = 2021-05-27 03:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./laplacian_prior/psi2.json
# init = 2 (Default)
# random
#   seed = 3005167328 (Default)
# output
#   file = ./laplacian_prior/output2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,s
# Adaptation terminated
# Step size = 0.169025
# Diagonal elements of inverse mass matrix:
# 1, 1
-1.99685,0.528396,0.169025,2,5,0,2.21517,0.1264,0.0832714
-1.21583,0.338229,0.169025,1,3,0,2.36478,-0.0576563,0.105778
-1.54988,0.868937,0.169025,1,3,0,1.57434,0.103699,0.107708
-1.54988,0.0517508,0.169025,2,3,0,4.70846,0.103699,0.107708
-3.53981,0.153247,0.169025,2,3,0,4.17933,-0.259277,0.120095
-1.75948,0.902381,0.169025,2,3,0,2.89824,-0.126044,0.114826
-1.90474,0.474512,0.169025,1,3,0,3.54985,0.121221,0.0832481
-5.02962,0.176288,0.169025,2,6,1,7.91696,-0.313842,0.112425
-6.94617,0.333333,0.169025,2,3,0,8.58451,0.255361,0.0724737
-6.94617,4.02027e-12,0.169025,1,1,0,7.14201,0.255361,0.0724737
-3.69092,0.443112,0.169025,2,3,0,3.87279,-0.179923,0.0742659
-2.99069,0.180469,0.169025,2,3,0,5.556,0.202816,0.102561
-3.0856,0.693553,0.169025,1,3,0,3.82171,-0.219953,0.110872
-0.977263,0.412172,0.169025,3,15,0,2.21689,0.0107889,0.0960488
-1.64649,0.592082,0.169025,1,1,0,1.69628,-0.111351,0.0952255
-1.64649,0.0132189,0.169025,1,1,0,2.87061,-0.111351,0.0952255
-1.10891,1,0.169025,1,1,0,1.22762,0.0513741,0.0953085
-2.23422,0.371954,0.169025,2,5,0,2.63188,0.180922,0.150447
-2.59685,0.884591,0.169025,2,3,0,3.08407,-0.217987,0.199466
-2.34814,1,0.169025,1,1,0,2.56996,-0.16551,0.200108
-2.40345,0.980109,0.169025,2,3,0,2.74423,-0.166227,0.207898
-2.87784,1,0.169025,3,7,0,3.13031,-0.126644,0.276969
-2.62729,0.999327,0.169025,2,3,0,3.04372,-0.0271765,0.261808
-2.90925,0.992323,0.169025,2,3,0,2.93671,-0.115001,0.28227
-2.34699,0.682635,0.169025,2,7,0,4.86942,0.143311,0.211203
-2.12448,0.998497,0.169025,3,7,0,2.37957,-0.0659254,0.206887
-1.41135,0.563492,0.169025,2,7,0,2.44368,0.0770164,0.119541
-1.41135,0.639471,0.169025,1,1,0,1.92392,0.0770164,0.119541
-1.99123,0.572424,0.169025,2,5,1,4.7344,0.107994,0.180711
-1.98422,0.965475,0.169025,1,3,0,2.3548,-0.0454956,0.195192
-1.51984,0.995664,0.169025,2,7,0,2.1508,-0.0339388,0.148705
-2.79495,0.620061,0.169025,2,6,1,3.86511,0.0395317,0.278125
-4.40419,0.323631,0.169025,2,7,1,7.37807,0.255538,0.421833
-8.72383,0.893203,0.169025,3,7,0,11.6091,-0.157479,0.870632
-7.82239,1,0.169025,1,1,0,8.67524,-0.150598,0.780248
-6.27427,0.8529,0.169025,3,7,0,11.315,-0.722672,0.270695
-7.45851,0.851226,0.169025,3,7,0,8.29895,1.03454,0.594035
-2.59117,0.929268,0.169025,3,7,0,7.19497,-0.224021,0.158121
-2.62721,1,0.169025,2,3,0,2.63574,0.231036,0.17525
-3.62361,0.944831,0.169025,2,3,0,3.75508,0.34861,0.185797
-1.91859,0.814613,0.169025,1,3,0,5.05715,-0.115915,0.167239
-1.27622,0.63133,0.169025,2,7,0,2.32133,-0.0063482,0.126704
-1.85825,0.88717,0.169025,3,7,0,1.94526,-0.136191,0.1311
-1.86658,0.704288,0.169025,2,7,0,2.03829,0.135547,0.110467
-1.86658,0.00564631,0.169025,1,1,0,5.09164,0.135547,0.110467
-0.822114,0.593976,0.169025,2,5,0,2.99984,0.000775994,0.080964
-1.48172,0.39193,0.169025,2,5,0,1.66309,-0.0971375,0.099736
-3.49507,0.328974,0.169025,2,3,0,3.74123,0.229089,0.10348
-2.76803,1,0.169025,2,3,0,3.14526,0.202336,0.111627
-1.82941,0.826524,0.169025,2,7,0,3.4514,0.0949273,0.165982
-1.97657,0.85017,0.169025,2,3,0,3.51887,0.150326,0.133637
-1.26513,0.754142,0.169025,2,7,0,1.77543,-0.00548247,0.125618
-0.850084,0.998841,0.169025,2,7,0,1.41874,-0.0112708,0.0828694
-0.850084,0.0592594,0.169025,3,9,0,1.55675,-0.0112708,0.0828694
-1.11859,0.660173,0.169025,2,5,0,1.26261,-0.00568506,0.110821
-2.27303,0.675773,0.169025,2,5,0,2.37923,0.173823,0.118053
-2.44693,0.537464,0.169025,2,7,0,3.23494,-0.16435,0.215014
-2.3295,0.943537,0.169025,1,3,0,3.09177,0.0571809,0.229407
-2.52824,0.864141,0.169025,2,7,0,3.93896,-0.188382,0.113018
-1.46773,1,0.169025,2,3,0,2.30553,-0.048314,0.140112
-1.43554,0.979368,0.169025,2,3,0,1.60568,7.5581e-05,0.142851
-2.54423,0.807304,0.169025,2,7,0,2.66876,-0.182579,0.106484
-2.19056,1,0.169025,1,1,0,3.2255,-0.155171,0.101724
-2.19056,0.000869483,0.169025,1,1,0,4.70251,-0.155171,0.101724
-1.65923,0.866941,0.169025,2,3,0,2.63751,0.10667,0.133011
-1.53569,0.957474,0.169025,2,3,0,1.86682,-0.0937268,0.124361
-2.80671,0.750003,0.169025,2,3,0,2.82925,-0.201183,0.108806
-2.21864,1,0.169025,1,1,0,3.34005,-0.159111,0.104106
-2.33247,1,0.169025,3,11,0,2.87015,0.165725,0.197552
-2.08059,0.515519,0.169025,2,5,1,6.82504,0.158491,0.119996
-2.47127,0.768828,0.169025,2,3,0,2.58461,0.160471,0.0911905
-0.945643,1,0.169025,1,1,0,1.31642,-0.0217524,0.09057
-0.927747,0.328068,0.169025,2,7,0,1.10937,-0.0326819,0.0840103
-1.00296,0.39829,0.169025,1,3,0,1.13703,0.0505555,0.0780023
-1.00296,1.95688e-11,0.169025,1,1,0,3.41644,0.0505555,0.0780023
-1.00296,2.45657e-05,0.169025,1,2,1,3.1487,0.0505555,0.0780023
-1.00296,0.0297427,0.169025,1,1,0,2.11974,0.0505555,0.0780023
-2.49229,0.236637,0.169025,2,5,0,5.27867,-0.186009,0.113101
-2.36327,0.155844,0.169025,1,3,0,8.14384,0.18484,0.186871
-2.22989,1,0.169025,2,3,0,2.37914,0.155473,0.188411
-2.23135,0.887643,0.169025,1,3,0,3.3155,-0.155055,0.188925
-1.54814,0.745003,0.169025,2,7,0,2.26064,0.0026075,0.154148
-1.38105,0.981936,0.169025,2,3,0,1.64129,-0.0410799,0.132544
-2.77452,0.717998,0.169025,1,3,0,2.78695,-0.225606,0.133148
-1.81223,0.610357,0.169025,2,5,0,3.65241,-0.0532895,0.176074
-1.81223,0.900879,0.169025,1,3,0,2.27514,-0.0532895,0.176074
-2.5053,0.804004,0.169025,2,3,0,3.02169,0.214815,0.162064
-3.16831,0.618118,0.169025,2,7,0,4.01945,-0.0337847,0.315942
-2.96632,0.926721,0.169025,4,15,0,3.62699,-0.262945,0.231936
-1.96146,0.817202,0.169025,2,7,0,2.89335,0.0114287,0.195462
-2.04795,0.983003,0.169025,2,3,0,2.12458,-0.104367,0.189022
-1.95418,0.997803,0.169025,3,7,0,2.06467,-0.0411127,0.19262
-2.29595,0.994486,0.169025,2,7,0,2.66236,-0.0136397,0.22898
-1.28164,0.562478,0.169025,2,5,1,4.14393,0.0640373,0.110445
-1.76251,1,0.169025,2,7,0,1.84661,-0.0920013,0.158847
-1.8125,0.994844,0.169025,1,3,0,2.13816,-0.00611563,0.180638
-2.64551,0.690428,0.169025,2,7,1,2.89581,0.0480468,0.262494
-2.27345,0.997424,0.169025,1,3,0,2.86291,0.00973403,0.226811
-1.66181,0.96769,0.169025,2,5,0,3.32279,0.106608,0.133585
-1.66181,0.737528,0.169025,1,3,0,2.27585,0.106608,0.133585
-3.00776,0.669894,0.169025,2,3,0,3.34923,-0.23826,0.12874
-3.46364,0.93317,0.169025,2,3,0,4.6939,0.347,0.212238
-3.03161,1,0.169025,2,3,0,4.12105,0.0306382,0.302317
-2.5656,0.990719,0.169025,3,7,0,3.48235,-0.186815,0.220076
-2.27592,0.989115,0.169025,2,3,0,2.68721,-0.0470879,0.224956
-1.26889,0.837998,0.169025,3,7,0,2.60759,0.0415167,0.120075
-1.74641,0.709125,0.169025,2,3,0,2.24721,-0.12201,0.101727
-1.29947,0.92267,0.169025,1,3,0,1.44884,0.0761787,0.0998197
-1.37824,0.910333,0.169025,1,3,0,1.58813,0.0842385,0.10415
-1.32821,0.719432,0.169025,2,7,0,1.41745,-0.065494,0.116022
-0.920987,0.686502,0.169025,3,9,0,1.05049,0.0377665,0.0795703
-1.25932,0.334067,0.169025,1,3,0,2.68843,0.065335,0.105982
-1.47336,0.46456,0.169025,2,5,1,3.17614,0.00859153,0.146479
-1.5257,0.981329,0.169025,2,3,0,1.60154,0.0431911,0.14761
-2.19354,0.573805,0.169025,2,5,0,4.18106,-0.0962864,0.208176
-1.19888,0.957499,0.169025,2,7,0,2.70933,0.0185093,0.117801
-1.19888,0.00128577,0.169025,2,3,0,5.65214,0.0185093,0.117801
-1.70662,0.512413,0.169025,2,7,1,2.02381,-0.0450444,0.166395
-2.38205,0.853249,0.169025,2,7,0,3.06053,-0.08784,0.23051
-1.62249,0.977929,0.169025,2,7,0,4.31483,0.0110593,0.161393
-2.06188,0.996138,0.169025,2,3,0,2.064,-0.00700542,0.205643
-2.7343,0.674616,0.169025,2,7,1,3.7937,0.0276975,0.272546
-3.11058,0.883787,0.169025,2,7,0,4.65501,-0.291064,0.23177
-2.14661,0.832943,0.169025,2,7,0,3.50541,0.16775,0.156775
-2.59202,0.870574,0.169025,1,1,0,2.69478,0.223203,0.155381
-1.66272,0.926543,0.169025,2,3,0,2.84952,-0.111897,0.126114
-4.55685,0.484077,0.169025,3,7,0,5.12903,-0.0403308,0.455072
-5.58042,0.976819,0.169025,3,7,0,6.53841,0.710393,0.400408
-3.06936,0.999531,0.169025,3,7,0,5.47661,-0.106204,0.30035
-4.35767,0.928062,0.169025,3,7,0,4.52421,0.455456,0.351565
-6.49479,0.856445,0.169025,3,7,0,7.412,-0.807682,0.310216
-3.53875,0.946975,0.169025,2,5,0,6.62381,0.361644,0.233254
-5.32755,0.994372,0.169025,3,7,0,5.79045,-0.121518,0.529937
-5.2243,0.997212,0.169025,2,3,0,5.8004,-0.307644,0.50357
-5.117,0.990978,0.169025,2,3,0,5.65996,-0.137355,0.507845
-1.45007,0.778952,0.169025,3,7,0,4.991,0.0172977,0.143582
-2.54926,0.711525,0.169025,2,7,0,7.2073,-0.10474,0.24541
-1.4492,0.698535,0.169025,2,7,1,3.74358,-0.0604448,0.133996
-1.59171,0.951254,0.169025,1,1,0,1.62089,-0.0924676,0.134954
-1.31104,0.96953,0.169025,2,3,0,1.66061,-0.0337134,0.126776
-1.50338,0.998335,0.169025,2,7,0,1.8973,0.00370997,0.149637
-1.50729,0.943315,0.169025,2,3,0,1.80334,0.0578142,0.141697
-1.59829,1,0.169025,2,3,0,1.62987,-0.0546841,0.152766
-1.61156,0.835144,0.169025,2,3,0,2.58093,-0.0408981,0.15713
-1.02805,0.380906,0.169025,2,6,1,2.60734,0.0406068,0.0919627
-1.44543,0.163421,0.169025,2,3,0,2.59699,0.0879055,0.0755882
-1.44543,0.0678591,0.169025,2,3,0,1.52365,0.0879055,0.0755882
-1.50423,0.151317,0.169025,2,7,1,1.69786,-0.0879026,0.0698919
-1.38283,0.5,0.169025,2,6,1,2.37908,-0.0298208,0.135105
-3.06117,0.584231,0.169025,2,3,0,3.60419,0.263033,0.148436
-2.20086,1,0.169025,2,7,0,3.83954,0.0505951,0.216903
-2.46629,0.745482,0.169025,2,5,0,4.0695,-0.194361,0.125061
-2.41807,1,0.169025,3,7,0,2.83278,0.181341,0.200341
-1.57468,0.757308,0.169025,2,7,0,2.46592,-0.0443114,0.152594
-1.49472,1,0.169025,2,3,0,1.61325,0.0384201,0.145285
-2.22318,0.625537,0.169025,2,7,0,3.53732,-0.154935,0.187725
-2.58882,0.870258,0.169025,2,7,0,3.04742,0.203121,0.124079
-2.68088,0.43069,0.169025,3,15,0,2.93554,-0.232304,0.200401
-1.79518,1,0.169025,2,3,0,2.5686,0.0681315,0.170994
-4.40996,0.715875,0.169025,3,7,0,5.21928,-0.0744599,0.439332
-4.14982,1,0.169025,3,7,0,4.47187,-0.132575,0.409497
-2.98695,1,0.169025,2,3,0,4.22813,0.0251432,0.298003
-3.39644,0.866478,0.169025,3,9,0,4.18387,0.333827,0.200404
-3.80531,0.763333,0.169025,2,7,0,4.51867,-0.207419,0.364023
-1.12772,0.941838,0.169025,3,11,0,1.89379,0.0623175,0.0841677
