# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = laplacian_prior_model
# start_datetime = 2021-05-27 03:54:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./laplacian_prior/psi1.json
# init = 2 (Default)
# random
#   seed = 3005158512 (Default)
# output
#   file = ./laplacian_prior/output1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,s
# Adaptation terminated
# Step size = 0.35255
# Diagonal elements of inverse mass matrix:
# 1, 1
-2.11143,0.997978,0.35255,3,7,0,3.10786,1.20646,1.91179
-2.00678,1,0.35255,1,1,0,2.11006,1.16966,1.79358
-2.62023,0.833397,0.35255,2,7,0,3.18081,1.74163,2.34369
-2.87707,0.705283,0.35255,2,3,0,4.91486,1.88487,0.963831
-3.75582,0.720796,0.35255,1,1,0,3.87594,1.9829,0.818243
-3.20502,1,0.35255,2,3,0,3.66371,1.52271,3.0827
-1.06521,0.971513,0.35255,2,7,0,4.04088,0.0717248,1.06199
-1.50903,0.981826,0.35255,3,7,0,1.8279,0.622199,0.42255
-1.46409,0.799105,0.35255,3,7,0,2.91299,-0.00466594,1.4634
-2.87404,0.94619,0.35255,2,5,0,4.22393,1.18602,2.78286
-3.3338,0.956051,0.35255,1,1,0,3.34491,1.23258,3.26211
-2.18851,0.989222,0.35255,2,7,0,3.5123,1.73543,1.30924
-1.83606,0.999629,0.35255,2,3,0,2.22501,1.35293,1.24074
-3.29829,0.939339,0.35255,2,3,0,3.81118,1.99504,0.913768
-2.01381,0.883025,0.35255,2,3,0,4.10013,1.50085,1.53543
-2.43314,1,0.35255,3,7,0,2.57579,2.05172,1.7262
-2.43314,0.902856,0.35255,1,3,0,3.4186,2.05172,1.7262
-2.76548,0.987347,0.35255,2,3,0,2.84516,2.38522,2.14913
-2.36186,0.972807,0.35255,3,7,0,3.03135,1.84534,1.87917
-2.62961,0.809596,0.35255,3,7,0,5.61743,-1.21018,0.601061
-2.32275,1,0.35255,3,7,0,2.8293,-0.70736,2.27392
-1.43481,0.998936,0.35255,2,3,0,2.39255,-0.905721,1.08633
-0.936028,0.981136,0.35255,3,7,0,1.69194,0.226389,0.90353
-1.26929,0.975871,0.35255,2,7,0,1.96145,-0.717758,1.0214
-1.57638,0.922535,0.35255,3,15,0,4.29999,1.02673,1.2234
-1.95015,0.976152,0.35255,2,3,0,2.0641,0.970527,1.80504
-1.06171,0.997729,0.35255,3,7,0,1.95656,-0.560547,0.56134
-2.47658,0.970206,0.35255,3,7,0,3.71022,-1.95302,1.24461
-2.77701,0.985181,0.35255,2,7,0,3.21402,-2.48128,1.66212
-2.45968,0.840013,0.35255,2,5,0,4.48182,-1.6388,0.940494
-4.08448,0.97905,0.35255,5,31,0,4.84794,3.90059,1.8421
-3.60976,1,0.35255,3,7,0,4.04307,3.37936,2.9559
-2.5089,0.914142,0.35255,4,15,0,4.45491,2.15705,1.73927
-1.13511,0.982539,0.35255,3,7,0,2.73513,0.614469,0.901919
-1.31455,0.991657,0.35255,2,3,0,1.33639,0.807183,0.786116
-2.05596,0.9404,0.35255,2,7,0,2.7492,1.60381,1.36924
-2.32592,0.999954,0.35255,3,7,0,2.44295,1.90833,1.68076
-1.74391,0.989202,0.35255,3,7,0,2.46574,1.24814,1.10454
-2.27474,0.968184,0.35255,2,3,0,2.37129,1.64457,1.0521
-1.63789,0.90867,0.35255,3,11,0,3.83921,-0.492676,1.58921
-1.35007,0.995329,0.35255,3,7,0,1.85611,-0.729469,0.593797
-1.60969,0.968441,0.35255,2,7,0,2.17225,-1.10943,1.10218
-1.43103,0.959908,0.35255,2,3,0,2.14848,-0.923576,0.883455
-1.15064,0.992925,0.35255,3,7,0,1.59481,-0.155513,1.14046
-0.689546,0.99417,0.35255,3,7,0,1.44357,0.308621,0.485143
-0.435562,0.992269,0.35255,3,7,0,0.753829,-0.0810062,0.414001
-2.60211,0.781955,0.35255,2,3,0,2.89049,-0.72646,0.341904
-2.68307,0.601964,0.35255,2,3,0,3.6777,-0.695961,0.320371
-0.970845,1,0.35255,1,1,0,2.12316,-0.459076,0.45134
-1.8483,0.891409,0.35255,2,3,0,1.91007,-0.633054,0.368293
-1.16193,1,0.35255,1,1,0,1.68627,-0.509957,0.419043
-1.16193,0.711359,0.35255,1,1,0,1.74564,-0.509957,0.419043
-1.17033,0.621779,0.35255,3,7,0,2.53306,0.391289,1.10695
-1.36629,0.998598,0.35255,3,7,0,1.49483,0.868103,0.900227
-0.993448,0.974267,0.35255,2,7,0,1.55502,0.535551,0.626595
-0.376914,0.957774,0.35255,2,7,0,1.22235,0.00846996,0.37398
-1.03115,0.928616,0.35255,2,5,0,1.6627,-0.508874,0.851319
-3.59901,0.902667,0.35255,3,11,0,4.73786,2.84172,3.20582
-3.88218,0.817359,0.35255,3,11,0,5.3171,4.09715,2.3133
-4.12255,0.992916,0.35255,2,3,0,4.17773,4.42756,3.10664
-4.69244,0.868325,0.35255,2,3,0,5.10121,4.37357,1.82718
-3.62019,1,0.35255,2,7,0,5.19104,2.76384,3.26063
-1.83407,0.937159,0.35255,3,7,0,4.62214,0.935127,0.594255
-1.34817,0.551481,0.35255,3,7,0,2.74678,-0.399471,0.272864
-2.19295,0.116897,0.35255,2,3,0,4.98475,0.658689,0.342682
-0.590504,0.438533,0.35255,3,7,0,3.83015,-0.148023,0.552849
-5.58828,0.795767,0.35255,3,15,0,7.13518,-3.2034,5.41298
-2.85811,0.995442,0.35255,2,7,0,6.79309,-2.05596,2.52666
-3.65916,0.975227,0.35255,2,7,0,4.01869,-2.34191,3.42512
-3.21514,0.886847,0.35255,2,7,0,6.2554,-3.06535,1.86755
-4.45285,0.975064,0.35255,3,11,0,4.6484,-4.5101,3.71608
-2.83895,0.902189,0.35255,3,11,0,6.29128,-2.03048,1.08413
-2.41687,1,0.35255,2,3,0,2.80571,-1.99565,1.39961
-0.960756,0.941451,0.35255,3,15,0,4.0469,0.384357,0.859635
-1.06336,0.988453,0.35255,3,7,0,1.35637,-0.0220644,1.0622
-0.894985,0.997701,0.35255,3,7,0,1.19613,0.295713,0.26404
-0.468971,1,0.35255,2,3,0,0.901714,-0.170624,0.340418
-0.467765,0.883633,0.35255,2,5,0,0.85367,0.13354,0.413089
-0.605534,0.610522,0.35255,3,10,1,1.19971,-0.07253,0.596462
-0.687509,0.666667,0.35255,1,3,0,2.64613,-0.256435,0.288212
-0.862838,0.967093,0.35255,2,5,0,1.96144,-0.411407,0.676368
-1.59459,0.986088,0.35255,2,5,0,1.88674,-0.531991,1.53378
-1.14778,0.970748,0.35255,3,7,0,2.31039,0.239791,1.12414
-1.37635,0.995373,0.35255,3,7,0,1.77002,0.877374,0.935222
-2.90553,0.999654,0.35255,4,15,0,3.18797,2.59067,2.23068
-3.51378,0.971615,0.35255,3,7,0,3.63791,2.95262,3.04258
-1.67317,0.953144,0.35255,3,15,0,3.93761,1.12281,0.908709
-1.56904,0.947005,0.35255,3,7,0,2.49948,-1.04775,0.921325
-1.20003,0.930997,0.35255,2,3,0,2.61538,-0.676326,0.940292
-1.15468,0.970953,0.35255,2,7,0,2.26728,0.396134,1.08741
-1.48968,0.989646,0.35255,3,7,0,1.63096,0.265288,1.47277
-1.45168,0.988301,0.35255,3,7,0,2.04881,0.936446,1.0619
-0.947908,0.982249,0.35255,2,7,0,1.58307,0.405785,0.826036
-0.269419,0.982157,0.35255,4,15,0,0.345362,0.00890941,0.265074
