# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = normal_model
# start_datetime = 2021-05-27 01:27:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./ex_toy01/inputs.json
# init = 2 (Default)
# random
#   seed = 2996315998 (Default)
# output
#   file = ./ex_toy01/output.txt
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.723008
# Diagonal elements of inverse mass matrix:
# 0.00279455, 0.0110958
24.4128,0.968546,0.723008,3,7,0,-23.7015,-1.02026,0.390354
24.6526,0.991524,0.723008,3,7,0,-24.1918,-1.01586,0.355667
24.5297,0.981513,0.723008,2,3,0,-24.4248,-1.01709,0.345453
24.4365,0.994785,0.723008,2,3,0,-24.4165,-1.01627,0.340006
23.2355,0.872947,0.723008,2,3,0,-22.8915,-1.04863,0.426032
24.166,1,0.723008,3,7,0,-23.0639,-1.05194,0.36967
23.8494,0.957985,0.723008,2,3,0,-23.4622,-1.06519,0.376045
24.692,1,0.723008,2,3,0,-23.8649,-0.984626,0.353796
24.6151,0.985795,0.723008,2,3,0,-24.5048,-0.980552,0.379997
24.6502,0.954066,0.723008,1,3,0,-24.0147,-1.01134,0.351497
24.574,0.862392,0.723008,2,3,0,-23.1691,-0.998677,0.342602
24.505,0.727149,0.723008,3,7,0,-21.4286,-0.993872,0.339093
23.2779,0.856862,0.723008,2,3,0,-22.9276,-0.929468,0.416094
24.5569,1,0.723008,2,3,0,-23.2466,-1.0121,0.384436
23.9974,0.960035,0.723008,2,3,0,-23.8783,-1.05523,0.352212
24.2503,0.984085,0.723008,2,3,0,-23.5813,-0.945377,0.35917
23.2032,0.919069,0.723008,2,3,0,-22.8735,-0.906774,0.390389
24.5067,0.797963,0.723008,1,3,0,-19.628,-1.03188,0.368427
24.7109,1,0.723008,2,3,0,-24.4969,-1.00745,0.356751
24.4578,0.959282,0.723008,2,3,0,-24.2263,-0.95754,0.35868
24.4806,0.919546,0.723008,3,7,0,-23.0838,-1.02356,0.383785
24.133,0.97846,0.723008,2,3,0,-24.0935,-1.04622,0.387708
24.2119,0.939215,0.723008,3,7,0,-22.9392,-0.945779,0.353588
24.3092,1,0.723008,2,3,0,-24.1817,-0.948622,0.358692
24.2867,0.917446,0.723008,3,7,0,-23.1301,-1.03967,0.383702
23.5699,0.928752,0.723008,2,3,0,-23.1961,-1.06494,0.342893
24.2082,1,0.723008,2,3,0,-23.2409,-1.01961,0.332317
23.8949,0.955509,0.723008,3,7,0,-23.2895,-1.05944,0.352328
23.7474,0.996179,0.723008,3,7,0,-23.6532,-0.923895,0.381314
21.9572,0.898331,0.723008,2,3,0,-21.6087,-0.874466,0.404982
22.8095,1,0.723008,2,3,0,-21.1242,-0.895116,0.361847
22.9463,0.997502,0.723008,3,7,0,-21.978,-1.09532,0.380771
24.1572,0.998111,0.723008,2,5,0,-23.0616,-0.93997,0.372609
24.1539,0.998988,0.723008,3,7,0,-24.0909,-1.05052,0.356892
24.2119,0.981155,0.723008,3,7,0,-23.7437,-0.944198,0.377501
24.5534,0.961624,0.723008,2,3,0,-23.6344,-1.00275,0.341929
24.662,0.994926,0.723008,3,7,0,-24.4112,-1.01018,0.375853
24.4181,0.960637,0.723008,2,3,0,-24.1481,-1.00301,0.335804
23.9053,0.904101,0.723008,3,7,0,-23.1765,-0.96361,0.410846
23.9239,0.998367,0.723008,3,7,0,-23.6483,-1.03068,0.328163
23.8735,0.996669,0.723008,3,7,0,-23.4296,-0.960662,0.410933
24.3185,0.997141,0.723008,2,7,0,-23.5996,-1.01983,0.395804
23.4934,0.944067,0.723008,2,3,0,-23.3357,-1.05273,0.414489
23.65,0.996308,0.723008,3,7,0,-23.3009,-1.02993,0.419651
23.1926,0.987069,0.723008,2,3,0,-23.1525,-1.04626,0.428528
22.9539,0.926828,0.723008,3,7,0,-20.5426,-1.09203,0.358761
23.1933,1,0.723008,2,3,0,-22.0696,-1.06689,0.415993
23.8118,0.959567,0.723008,2,7,0,-22.253,-0.924972,0.373731
22.0024,0.840597,0.723008,2,3,0,-21.7125,-0.887142,0.341135
23.7796,1,0.723008,3,7,0,-21.8316,-1.00934,0.419941
24.7344,0.832875,0.723008,3,7,0,-20.3716,-0.995239,0.370533
24.2049,0.902347,0.723008,2,3,0,-23.5544,-0.947472,0.350214
24.2202,0.964521,0.723008,2,3,0,-23.6041,-0.977844,0.331012
23.8586,0.93455,0.723008,1,1,0,-23.8379,-0.96911,0.323517
23.4297,0.949443,0.723008,3,7,0,-22.6981,-1.0333,0.425894
24.3875,0.949534,0.723008,3,7,0,-22.3745,-0.987536,0.334811
23.7122,0.918124,0.723008,2,3,0,-23.3261,-0.966671,0.418939
24.4037,0.999217,0.723008,2,3,0,-23.6407,-0.967279,0.388491
23.6488,0.887816,0.723008,3,7,0,-22.5836,-1.05025,0.409832
24.3606,0.90913,0.723008,3,7,0,-21.9075,-0.989396,0.333584
23.3083,0.917652,0.723008,2,3,0,-23.2387,-0.965737,0.431721
23.5626,1,0.723008,1,1,0,-23.2786,-0.969179,0.424608
22.6285,0.946476,0.723008,3,7,0,-21.9168,-1.03885,0.447706
21.2063,0.854401,0.723008,2,3,0,-19.1152,-1.13785,0.392123
23.5514,0.96117,0.723008,2,3,0,-20.7538,-1.07663,0.372486
23.7441,0.754926,0.723008,3,7,0,-19.01,-0.937974,0.337968
24.6518,0.936881,0.723008,2,3,0,-23.1013,-0.98003,0.375942
23.5538,0.760717,0.723008,1,3,0,-21.6016,-1.07652,0.373829
21.223,0.890277,0.723008,3,7,0,-20.3402,-1.09815,0.457644
20.7223,0.994575,0.723008,3,7,0,-20.5657,-1.09536,0.473049
23.7288,1,0.723008,2,3,0,-20.8553,-1.06435,0.391401
23.6613,0.992821,0.723008,2,7,0,-23.4396,-1.0523,0.407848
23.9507,1,0.723008,2,3,0,-23.4936,-1.0578,0.384798
24.1219,0.953106,0.723008,3,7,0,-22.8884,-0.938337,0.362792
22.8923,0.940571,0.723008,3,7,0,-22.5952,-1.0522,0.315837
24.4299,1,0.723008,2,3,0,-22.5685,-1.03682,0.360549
24.1495,0.834712,0.723008,3,7,0,-21.6298,-0.960323,0.398718
23.3063,0.91082,0.723008,2,3,0,-22.4298,-1.00495,0.309422
24.6812,1,0.723008,3,7,0,-23.4183,-0.978365,0.357851
24.5407,0.984089,0.723008,2,3,0,-24.4689,-1.00839,0.386812
24.2198,0.934332,0.723008,2,3,0,-23.678,-1.04872,0.373079
23.7446,0.965152,0.723008,2,3,0,-23.4859,-1.05523,0.401503
24.3725,0.987968,0.723008,2,3,0,-23.2857,-0.955817,0.380449
24.3552,0.998404,0.723008,1,1,0,-24.3144,-0.956271,0.382647
24.5034,1,0.723008,2,3,0,-24.3641,-0.967673,0.381298
24.5116,0.990191,0.723008,2,7,0,-24.2852,-1.00455,0.340111
24.444,0.99712,0.723008,3,7,0,-24.4219,-1.0086,0.33787
23.9327,0.967965,0.723008,3,7,0,-23.9293,-1.02071,0.324695
24.6401,0.996206,0.723008,2,3,0,-23.8106,-1.01649,0.354592
24.0372,0.937892,0.723008,2,3,0,-23.9561,-0.959618,0.403629
22.4652,0.808597,0.723008,2,3,0,-21.128,-0.886716,0.39928
24.0018,0.985811,0.723008,2,5,0,-22.6807,-1.05461,0.351434
24.4177,1,0.723008,3,7,0,-23.83,-0.966005,0.344453
24.116,0.71378,0.723008,1,3,0,-21.5496,-1.04101,0.394089
24.5412,1,0.723008,2,3,0,-24.0869,-1.01578,0.383935
23.6943,0.945103,0.723008,2,3,0,-23.6151,-1.07156,0.372146
24.2255,0.999804,0.723008,3,7,0,-23.5736,-0.947868,0.382982
24.6677,0.998849,0.723008,2,3,0,-24.1508,-1.01527,0.370343
24.5806,0.994616,0.723008,3,7,0,-24.5415,-0.977914,0.347224
23.092,0.793457,0.723008,2,3,0,-22.2368,-1.03392,0.311715
22.2843,0.937697,0.723008,3,7,0,-21.5486,-1.08174,0.323699
23.2242,1,0.723008,3,7,0,-21.6342,-1.02856,0.312316
23.8756,0.905899,0.723008,2,3,0,-22.0269,-1.00012,0.319942
24.0088,0.945211,0.723008,3,7,0,-23.0076,-1.04308,0.338481
24.498,1,0.723008,2,3,0,-23.9114,-1.00714,0.339984
23.6886,0.862946,0.723008,2,3,0,-22.9955,-0.945225,0.330472
