# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = normal_model
# start_datetime = 2021-05-27 01:27:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./ex_toy01/inputs.json
# init = ./ex_toy01/init.json
# random
#   seed = 2996367183 (Default)
# output
#   file = ./ex_toy01/output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.048678
# Diagonal elements of inverse mass matrix:
# 1, 1
24.7109,0.972869,0.048678,2,7,0,-24.0725,-1.00705,0.370786
24.5775,0.798259,0.048678,2,3,0,-22.8264,-0.991722,0.34293
24.2559,0.868383,0.048678,1,3,0,-23.4954,-0.945014,0.361718
21.4162,0.699745,0.048678,2,7,0,-21.2836,-1.13232,0.376763
24.3918,1,0.048678,2,3,0,-21.396,-1.01734,0.392835
23.772,0.97565,0.048678,2,3,0,-23.6105,-0.985785,0.420551
24.6173,0.995112,0.048678,3,7,0,-23.6402,-1.01979,0.355476
24.491,0.96331,0.048678,2,5,0,-24.1251,-1.02714,0.379743
21.1328,0.728327,0.048678,2,7,0,-20.3178,-1.11906,0.441957
22.1729,0.993464,0.048678,3,7,0,-20.9206,-0.877911,0.368147
24.6731,1,0.048678,2,3,0,-22.6098,-1.01405,0.370925
24.7423,0.944999,0.048678,2,3,0,-24.2534,-0.989263,0.360814
24.5666,0.974757,0.048678,3,7,0,-24.5157,-0.965545,0.359047
21.7441,0.826706,0.048678,3,7,0,-21.1836,-1.08785,0.449526
22.3113,1,0.048678,3,7,0,-21.0353,-0.922823,0.444195
23.6134,1,0.048678,2,3,0,-22.2411,-1.05875,0.404709
23.5322,0.928768,0.048678,2,3,0,-22.1395,-0.997543,0.428656
24.1412,0.991993,0.048678,2,7,0,-23.2321,-0.982216,0.40656
24.1953,0.899709,0.048678,1,3,0,-22.5851,-1.04829,0.378492
23.6249,0.941052,0.048678,2,3,0,-23.4715,-0.918073,0.368123
23.8684,1,0.048678,2,3,0,-23.5463,-0.92702,0.369576
20.2683,0.516538,0.048678,2,3,0,-17.8743,-0.83489,0.396645
23.0509,0.982924,0.048678,2,7,0,-20.0483,-1.04195,0.434672
22.9236,1,0.048678,2,3,0,-22.6982,-1.01521,0.444709
23.483,0.992883,0.048678,2,3,0,-22.7226,-0.980602,0.42919
21.4143,0.681355,0.048678,2,3,0,-19.9419,-0.863493,0.414038
24.2556,1,0.048678,2,3,0,-21.7499,-0.984168,0.402022
23.9742,0.992602,0.048678,2,3,0,-23.9264,-0.997101,0.41404
22.9896,0.903732,0.048678,2,3,0,-22.8724,-0.91641,0.416629
24.4478,0.934699,0.048678,2,7,0,-22.1575,-0.955775,0.36381
24.205,0.991882,0.048678,2,7,0,-23.761,-1.00652,0.328977
22.2686,0.722462,0.048678,2,3,0,-21.7739,-0.928815,0.31122
24.2474,1,0.048678,2,3,0,-22.314,-0.991043,0.329667
23.3216,0.80503,0.048678,2,3,0,-22.0303,-1.02818,0.313929
24.6067,0.990937,0.048678,2,3,0,-23.1694,-0.971495,0.354914
24.6937,1,0.048678,2,3,0,-24.5883,-0.999149,0.351268
24.658,0.996683,0.048678,2,3,0,-24.656,-1.00733,0.350155
